日期,所有類別熱度,股票名稱
日期,所有類別熱度,股票名稱
日期,所有類別熱度,股票名稱
2020-10-26,0,台積電
2020-10-27,0,台積電
2020-10-28,0,台積電
2020-10-29,0,台積電
2020-10-30,0,台積電
2020-10-31,0,台積電
2020-11-01,0,台積電
2020-11-02,0,台積電
2020-11-03,0,台積電
2020-11-04,0,台積電
2020-11-05,0,台積電
2020-11-06,0,台積電
2020-11-07,0,台積電
2020-11-08,0,台積電
2020-11-09,0,台積電
2020-11-10,0,台積電
2020-11-11,0,台積電
2020-11-12,0,台積電
2020-11-13,0,台積電
2020-11-14,0,台積電
2020-11-15,0,台積電
2020-11-16,0,台積電
2020-11-17,0,台積電
2020-11-18,0,台積電
2020-11-19,0,台積電
2020-11-20,0,台積電
2020-11-21,0,台積電
2020-11-22,0,台積電
2020-11-23,0,台積電
2020-11-24,0,台積電
2020-11-25,0,台積電
2020-11-26,0,台積電
2020-11-27,0,台積電
2020-11-28,0,台積電
2020-11-29,0,台積電
2020-11-30,0,台積電
2020-12-01,0,台積電
2020-12-02,0,台積電
2020-12-03,0,台積電
2020-12-04,0,台積電
2020-12-05,0,台積電
2020-12-06,0,台積電
2020-12-07,0,台積電
2020-12-08,0,台積電
2020-12-09,0,台積電
2020-12-10,0,台積電
2020-12-11,0,台積電
2020-12-12,0,台積電
2020-12-13,0,台積電
2020-12-14,0,台積電
2020-12-15,0,台積電
2020-12-16,0,台積電
2020-12-17,0,台積電
2020-12-18,0,台積電
2020-12-19,0,台積電
2020-12-20,0,台積電
2020-12-21,0,台積電
2020-12-22,0,台積電
2020-12-23,0,台積電
2020-12-24,0,台積電
2020-12-25,0,台積電
2020-12-26,0,台積電
2020-12-27,0,台積電
2020-12-28,0,台積電
2020-12-29,0,台積電
2020-12-30,0,台積電
2020-12-31,0,台積電
2021-01-01,0,台積電
2021-01-02,0,台積電
2021-01-03,0,台積電
2021-01-04,0,台積電
2021-01-05,0,台積電
2021-01-06,0,台積電
2021-01-07,0,台積電
2021-01-08,0,台積電
2021-01-09,0,台積電
2021-01-10,0,台積電
2021-01-11,0,台積電
2021-01-12,0,台積電
2021-01-13,0,台積電
2021-01-14,0,台積電
2021-01-15,0,台積電
2021-01-16,22,台積電
2021-01-17,18,台積電
2021-01-18,57,台積電
2021-01-19,68,台積電
2021-01-20,83,台積電
2021-01-21,99,台積電
2021-01-22,83,台積電
2021-01-23,26,台積電
2021-01-24,23,台積電
2021-01-25,77,台積電
2021-01-26,90,台積電
2021-01-27,85,台積電
2021-01-28,100,台積電
2021-01-29,93,台積電
2021-01-30,27,台積電
2021-01-31,21,台積電
2021-02-01,73,台積電
2021-02-02,74,台積電
2021-02-03,66,台積電
2021-02-04,60,台積電
2021-02-05,56,台積電
2021-02-06,15,台積電
2021-02-07,14,台積電
2021-02-08,22,台積電
2021-02-09,26,台積電
2021-02-10,20,台積電
2021-02-11,19,台積電
2021-02-12,20,台積電
2021-02-13,15,台積電
2021-02-14,10,台積電
2021-02-15,14,台積電
2021-02-16,23,台積電
2021-02-17,71,台積電
2021-02-18,57,台積電
2021-02-19,56,台積電
2021-02-20,22,台積電
2021-02-21,13,台積電
2021-02-22,55,台積電
2021-02-23,62,台積電
2021-02-24,63,台積電
2021-02-25,62,台積電
2021-02-26,72,台積電
2021-02-27,17,台積電
2021-02-28,12,台積電
2021-03-01,25,台積電
2021-03-02,73,台積電
2021-03-03,58,台積電
2021-03-04,67,台積電
2021-03-05,71,台積電
2021-03-06,19,台積電
2021-03-07,17,台積電
2021-03-08,71,台積電
2021-03-09,72,台積電
2021-03-10,71,台積電
2021-03-11,65,台積電
2021-03-12,56,台積電
2021-03-13,15,台積電
2021-03-14,13,台積電
2021-03-15,55,台積電
2021-03-16,57,台積電
2021-03-17,56,台積電
2021-03-18,51,台積電
2021-03-19,53,台積電
2021-03-20,11,台積電
2021-03-21,12,台積電
2021-03-22,56,台積電
2021-03-23,46,台積電
2021-03-24,79,台積電
2021-03-25,71,台積電
2021-03-26,57,台積電
2021-03-27,17,台積電
2021-03-28,13,台積電
2021-03-29,57,台積電
2021-03-30,52,台積電
2021-03-31,61,台積電
2021-04-01,56,台積電
2021-04-02,19,台積電
2021-04-03,11,台積電
2021-04-04,11,台積電
2021-04-05,20,台積電
2021-04-06,53,台積電
2021-04-07,53,台積電
2021-04-08,0,台積電
2021-04-09,0,台積電
2021-04-10,0,台積電
2021-04-11,0,台積電
2021-04-12,0,台積電
2021-04-13,0,台積電
2021-04-14,0,台積電
2021-04-15,0,台積電
2021-04-16,0,台積電
2021-04-17,0,台積電
2021-04-18,0,台積電
2021-04-19,0,台積電
2021-04-20,0,台積電
2021-04-21,0,台積電
2021-04-22,0,台積電
2021-04-23,0,台積電
2021-04-24,0,台積電
2021-04-25,0,台積電
2021-04-26,0,台積電
2021-04-27,0,台積電
2021-04-28,0,台積電
2021-04-29,0,台積電
2021-04-30,0,台積電
2021-05-01,0,台積電
2021-05-02,0,台積電
2021-05-03,0,台積電
